image,label,condition
kitchen\kitchen_1.jpg,kitchen,3
kitchen\kitchen_10.jpg,kitchen,2
kitchen\kitchen_11.jpg,kitchen,1
kitchen\kitchen_12.jpg,kitchen,2
kitchen\kitchen_13.jpg,kitchen,4
kitchen\kitchen_14.jpg,kitchen,1
kitchen\kitchen_15.jpg,kitchen,1
kitchen\kitchen_16.jpg,kitchen,4
kitchen\kitchen_17.jpg,kitchen,2
kitchen\kitchen_18.jpg,kitchen,5
kitchen\kitchen_19.jpg,kitchen,1
kitchen\kitchen_2.jpg,kitchen,5
kitchen\kitchen_20.jpg,kitchen,4
kitchen\kitchen_21.jpg,kitchen,1
kitchen\kitchen_22.jpg,kitchen,2
kitchen\kitchen_23.jpg,kitchen,5
kitchen\kitchen_24.jpg,kitchen,5
kitchen\kitchen_25.jpg,kitchen,3
kitchen\kitchen_26.jpg,kitchen,4
kitchen\kitchen_27.jpg,kitchen,1
kitchen\kitchen_28.jpg,kitchen,5
kitchen\kitchen_29.jpg,kitchen,3
kitchen\kitchen_3.jpg,kitchen,5
kitchen\kitchen_30.jpg,kitchen,5
kitchen\kitchen_31.jpg,kitchen,2
kitchen\kitchen_32.jpg,kitchen,2
kitchen\kitchen_33.jpg,kitchen,1
kitchen\kitchen_34.jpg,kitchen,5
kitchen\kitchen_35.jpg,kitchen,2
kitchen\kitchen_36.jpg,kitchen,5
kitchen\kitchen_37.jpg,kitchen,3
kitchen\kitchen_38.jpg,kitchen,3
kitchen\kitchen_39.jpg,kitchen,5
kitchen\kitchen_4.jpg,kitchen,3
kitchen\kitchen_40.jpg,kitchen,4
kitchen\kitchen_41.jpg,kitchen,3
kitchen\kitchen_42.jpg,kitchen,4
kitchen\kitchen_43.jpg,kitchen,2
kitchen\kitchen_44.jpg,kitchen,5
kitchen\kitchen_45.jpg,kitchen,2
kitchen\kitchen_46.jpg,kitchen,2
kitchen\kitchen_47.jpg,kitchen,1
kitchen\kitchen_48.jpg,kitchen,1
kitchen\kitchen_49.jpg,kitchen,5
kitchen\kitchen_5.jpg,kitchen,4
kitchen\kitchen_50.jpg,kitchen,5
kitchen\kitchen_51.jpg,kitchen,3
kitchen\kitchen_52.jpg,kitchen,3
kitchen\kitchen_53.jpg,kitchen,1
kitchen\kitchen_54.jpg,kitchen,3
kitchen\kitchen_55.jpg,kitchen,4
kitchen\kitchen_56.jpg,kitchen,2
kitchen\kitchen_57.jpg,kitchen,1
kitchen\kitchen_58.jpg,kitchen,3
kitchen\kitchen_59.jpg,kitchen,3
kitchen\kitchen_6.jpg,kitchen,2
kitchen\kitchen_60.jpg,kitchen,4
kitchen\kitchen_61.jpg,kitchen,5
kitchen\kitchen_62.jpg,kitchen,1
kitchen\kitchen_63.jpg,kitchen,2
kitchen\kitchen_64.jpg,kitchen,1
kitchen\kitchen_65.jpg,kitchen,1
kitchen\kitchen_66.jpg,kitchen,1
kitchen\kitchen_67.jpg,kitchen,4
kitchen\kitchen_68.jpg,kitchen,5
kitchen\kitchen_69.jpg,kitchen,1
kitchen\kitchen_7.jpg,kitchen,3
